complexity,algorithm,samples,reward,b

36,A*,1,1.0846522890932808,8
36,A*,2,1.1785113019775793,8
36,A*,3,1.1785113019775793,8
36,A*,4,1.2803687993289596,8
36,A*,5,1.2803687993289596,8
36,A*,6,1.2803687993289596,8
36,A*,7,1.414213562373095,8
36,A*,8,1.386750490563073,8
36,A*,9,1.386750490563073,8
36,A*,10,1.414213562373095,8
36,A*,11,1.4907119849998598,8
36,A*,12,1.5617376188860608,8
36,A*,13,1.4907119849998598,8
36,A*,14,1.5617376188860608,8
36,A*,15,1.5617376188860608,8
36,A*,16,1.5811388300841898,8
36,A*,17,1.7149858514250882,8
36,A*,18,1.7677669529663687,8
36,A*,19,1.7677669529663687,8
36,A*,20,1.5811388300841898,8
36,A*,21,1.7149858514250882,8
36,A*,22,2.0,8
36,A*,23,2.0,8
36,A*,24,2.0,8
36,A*,25,1.8569533817705186,8
36,A*,26,1.8569533817705186,8
36,A*,27,2.23606797749979,8
36,A*,28,2.3570226039551585,8
36,A*,29,2.3570226039551585,8
36,A*,30,2.23606797749979,8
36,A*,31,2.773500981126146,8
36,A*,32,2.773500981126146,8
36,A*,33,2.773500981126146,8
36,A*,34,3.1622776601683795,8
36,A*,35,3.5355339059327373,8
36,A*,36,3.5355339059327373,8
36,A*,37,3.1622776601683795,8
36,A*,38,3.333333333333333,8
36,A*,39,4.47213595499958,8
36,A*,40,3.333333333333333,8
36,A*,41,5.0,8
36,A*,42,3.1622776601683795,8
36,A*,43,3.1622776601683795,8
36,A*,44,2.5,8
36,A*,45,5.0,8
36,A*,46,2.5,8
36,A*,47,2.42535625036333,8
36,A*,48,2.0,8
36,A*,49,10.0,8
36,A*,50,4.47213595499958,8
36,A*,51,2.773500981126146,8
36,A*,52,10.0,8
36,A*,53,2.42535625036333,8
36,A*,54,2.0,8
36,A*,55,4.47213595499958,8
36,A*,56,2.773500981126146,8
36,A*,57,7.071067811865475,8
36,A*,58,1.6666666666666665,8
36,A*,59,1.9611613513818404,8
36,A*,60,1.6666666666666665,8
36,A*,61,2.23606797749979,8
36,A*,62,3.5355339059327373,8
36,A*,63,3.5355339059327373,8
36,A*,64,7.071067811865475,8
36,A*,65,2.3570226039551585,8
36,A*,66,2.23606797749979,8
12,MCTS,6,7.0,8
12,MCTS,12,7.0,8
12,MCTS,18,7.0,8
12,MCTS,24,7.0,8
12,MCTS,30,7.0,8
12,MCTS,36,7.0,8
12,MCTS,42,7.0,8
12,MCTS,48,7.0,8
12,MCTS,54,7.0,8
12,MCTS,60,20,8
12,MCTS,66,20,8
12,LAP3,15,3.0,8
12,LAP3,25,6.0,8
12,MCTS,6,3.0,8
12,MCTS,12,3.0,8
12,MCTS,18,3.0,8
12,MCTS,24,3.0,8
12,MCTS,30,3.0,8
12,MCTS,36,3.0,8
12,MCTS,42,3.0,8
12,MCTS,48,3.0,8
12,MCTS,54,3.0,8
12,MCTS,60,3.0,8
12,MCTS,66,3.0,8
12,LAP3,10,6.0,8
12,LAP3,20,4.0,8
12,LAP3,40,7.0,8
12,LAP3,20,3.0,8
12,LAP3,25,7.0,8
12,MCTS,6,5.0,8
12,MCTS,12,5.0,8
12,MCTS,18,5.0,8
12,MCTS,24,5.0,8
12,MCTS,30,5.0,8
12,MCTS,36,5.0,8
12,MCTS,42,5.0,8
12,MCTS,48,5.0,8
12,MCTS,54,5.0,8
12,MCTS,60,5.0,8
12,MCTS,66,5.0,8
12,LAP3,35,5.0,8
12,LAP3,10,6.0,8
12,MCTS,6,7.0,8
12,MCTS,12,7.0,8
12,MCTS,18,7.0,8
12,MCTS,24,7.0,8
12,MCTS,30,7.0,8
12,MCTS,36,7.0,8
12,MCTS,42,7.0,8
12,MCTS,48,7.0,8
12,MCTS,54,7.0,8
12,MCTS,60,7.0,8
12,MCTS,66,7.0,8
12,LAP3,35,8.0,8
12,MCTS,6,4.0,8
12,MCTS,12,10.0,8
12,MCTS,18,20,8
12,MCTS,24,20,8
12,MCTS,30,20,8
12,MCTS,36,20,8
12,MCTS,42,20,8
12,MCTS,48,20,8
12,MCTS,54,20,8
12,MCTS,60,20,8
12,MCTS,66,20,8
12,LAP3,10,4.0,8
12,LAP3,15,9.0,8
12,MCTS,6,10.0,8
12,MCTS,12,10.0,8
12,MCTS,18,10.0,8
12,MCTS,24,10.0,8
12,MCTS,30,10.0,8
12,MCTS,36,10.0,8
12,MCTS,42,10.0,8
12,MCTS,48,10.0,8
12,MCTS,54,10.0,8
12,MCTS,60,10.0,8
12,MCTS,66,10.0,8
12,LAP3,10,4.0,8
12,LAP3,20,4.0,8
