complexity,algorithm,samples,reward,b,samples_region
12,LAP3,15,9.0,8,10
12,LAP3,20,4.0,8,10
12,LAP3,25,10.0,8,10
12,LAP3,30,4.0,8,10
12,LAP3,40,9.0,8,10
12,LAP3,45,4.0,8,10
12,LAP3,50,3.0,8,10
12,LAP3,55,7.0,8,10
12,LAP3,60,20,8,10
12,LAP3,65,12.0,8,10
12,LAP3,15,3.0,8,10
12,LAP3,20,4.0,8,10
12,LAP3,25,6.0,8,10
12,LAP3,30,15.0,8,10
12,LAP3,35,7.0,8,10
12,LAP3,45,13.0,8,10
12,LAP3,50,7.0,8,10
12,LAP3,55,10.0,8,10
12,LAP3,60,14.0,8,10
12,LAP3,65,5.0,8,10
12,LAP3,15,10.0,8,10
12,LAP3,20,3.0,8,10
12,LAP3,25,7.0,8,10
12,LAP3,30,3.0,8,10
12,LAP3,35,4.0,8,10
12,LAP3,40,8.0,8,10
12,LAP3,45,4.0,8,10
12,LAP3,50,9.0,8,10
12,LAP3,55,9.0,8,10
12,LAP3,65,4.0,8,10
12,LAP3,15,7.0,8,10
12,LAP3,20,6.0,8,10
12,LAP3,25,10.0,8,10
12,LAP3,30,12.0,8,10
12,LAP3,35,8.0,8,10
12,LAP3,40,8.0,8,10
12,LAP3,45,7.0,8,10
12,LAP3,55,5.0,8,10
12,LAP3,60,9.0,8,10
12,LAP3,65,6.0,8,10
12,LAP3,15,2.0,8,10
12,LAP3,20,7.0,8,10
12,LAP3,25,9.0,8,10
12,LAP3,30,4.0,8,10
12,LAP3,35,10.0,8,10
12,LAP3,40,2.0,8,10
12,LAP3,50,10.0,8,10
12,LAP3,55,20,8,10
12,LAP3,60,12.0,8,10
12,LAP3,65,5.0,8,10
12,LAP3,15,10.0,8,10
12,LAP3,20,7.0,8,10
12,LAP3,25,2.0,8,10
12,LAP3,30,20,8,10
12,LAP3,35,6.0,8,10
12,LAP3,40,20,8,10
12,LAP3,45,5.0,8,10
12,LAP3,50,10.0,8,10
12,LAP3,60,7.0,8,10
12,LAP3,65,4.0,8,10
12,LAP3,15,6.0,8,10
12,LAP3,20,10.0,8,10
12,LAP3,25,10.0,8,10
12,LAP3,30,6.0,8,10
12,LAP3,35,3.0,8,10
12,LAP3,40,10.0,8,10
12,LAP3,45,4.0,8,10
12,LAP3,50,7.0,8,10
12,LAP3,55,6.0,8,10
12,LAP3,60,5.0,8,10
12,LAP3,65,12.0,8,10
12,LAP3,15,20,8,10
12,LAP3,25,2.0,8,10
12,LAP3,30,4.0,8,10
12,LAP3,35,3.0,8,10
12,LAP3,45,4.0,8,10
12,LAP3,50,4.0,8,10
12,LAP3,55,8.0,8,10
12,LAP3,60,5.0,8,10
12,LAP3,65,7.0,8,10
12,LAP3,15,5.0,8,10
12,LAP3,20,4.0,8,10
12,LAP3,25,2.0,8,10
12,LAP3,30,6.0,8,10
12,LAP3,35,3.0,8,10
12,LAP3,40,9.0,8,10
12,LAP3,45,7.0,8,10
12,LAP3,50,10.0,8,10
12,LAP3,55,12.0,8,10
12,LAP3,60,10.0,8,10
12,LAP3,65,11.0,8,10
12,LAP3,15,4.0,8,10
12,LAP3,20,9.0,8,10
12,LAP3,25,2.0,8,10
12,LAP3,30,8.0,8,10
12,LAP3,35,10.0,8,10
12,LAP3,40,4.0,8,10
12,LAP3,45,15.0,8,10
12,LAP3,50,6.0,8,10
12,LAP3,60,4.0,8,10
12,LAP3,65,4.0,8,10
12,LAP3,15,4.0,8,10
12,LAP3,20,4.0,8,10
12,LAP3,25,9.0,8,10
12,LAP3,30,10.0,8,10
12,LAP3,35,10.0,8,10
12,LAP3,40,7.0,8,10
12,LAP3,45,10.0,8,10
12,LAP3,50,4.0,8,10
12,LAP3,55,10.0,8,10
12,LAP3,60,20,8,10
12,LAP3,65,12.0,8,10
12,LAP3,20,17.0,8,10
12,LAP3,25,3.0,8,10
