complexity,algorithm,samples,reward,b
12,LaMCTS,6,2.0,8
12,LaMCTS,12,2.0,8
12,LaMCTS,18,2.0,8
12,LaMCTS,24,2.0,8
12,LaMCTS,30,2.0,8
12,LaMCTS,36,2.0,8
12,LaMCTS,42,2.0,8
12,LaMCTS,48,2.0,8
12,LaMCTS,54,2.0,8
12,LaMCTS,60,2.0,8
12,LaMCTS,66,4.0,8
12,LAP3,65,10.0,8
12,LAP3,65,10.0,8
12,LAP3,65,6.0,8
12,LAP3,65,7.0,8
12,LAP3,65,8.0,8
12,LAP3,65,5.0,8
12,LAP3,65,10.0,8
12,LAP3,65,5.0,8
12,LAP3,65,10.0,8
12,LAP3,65,8.0,8
12,LAP3,65,9.0,8
12,LAP3,65,9.0,8
12,LAP3,65,7.0,8
12,LAP3,65,4.0,8
12,LAP3,65,10.0,8
12,LAP3,65,50,8
12,LAP3,65,7.0,8
12,LAP3,65,10.0,8
12,LAP3,65,5.0,8
12,LAP3,65,9.0,8
12,LAP3,65,10.0,8
12,LAP3,65,7.0,8
12,LAP3,65,10.0,8
12,LAP3,65,10.0,8
12,LAP3,65,9.0,8
12,LAP3,65,5.0,8
12,LAP3,65,8.0,8
12,LAP3,65,10.0,8
12,LAP3,65,7.0,8
12,LAP3,65,10.0,8
12,LAP3,65,7.0,8
12,LAP3,65,9.0,8
12,LAP3,65,10.0,8
12,LAP3,65,9.0,8
12,LAP3,65,50,8
12,LAP3,65,9.0,8
12,LAP3,65,10.0,8
12,LaMCTS,6,10.0,8
12,LaMCTS,12,10.0,8
12,LaMCTS,18,10.0,8
12,LaMCTS,24,10.0,8
12,LaMCTS,30,10.0,8
12,LaMCTS,36,10.0,8
12,LaMCTS,42,10.0,8
12,LaMCTS,48,10.0,8
12,LaMCTS,54,10.0,8
12,LaMCTS,60,10.0,8
12,LaMCTS,66,10.0,8
12,LaMCTS,6,3.0,8
12,LaMCTS,12,3.0,8
12,LaMCTS,18,3.0,8
12,LaMCTS,24,3.0,8
12,LaMCTS,30,3.0,8
12,LaMCTS,36,3.0,8
12,LaMCTS,42,3.0,8
12,LaMCTS,48,3.0,8
12,LaMCTS,54,3.0,8
12,LaMCTS,60,3.0,8
12,LaMCTS,66,3.0,8
12,LaMCTS,6,2.0,8
12,LaMCTS,12,2.0,8
12,LaMCTS,18,2.0,8
12,LaMCTS,24,2.0,8
12,LaMCTS,30,2.0,8
12,LaMCTS,36,2.0,8
12,LaMCTS,42,2.0,8
12,LaMCTS,48,2.0,8
12,LaMCTS,54,2.0,8
12,LaMCTS,60,4.0,8
12,LaMCTS,66,4.0,8
12,LaMCTS,6,3.0,8
12,LaMCTS,12,3.0,8
12,LaMCTS,18,4.0,8
12,LaMCTS,24,4.0,8
12,LaMCTS,30,4.0,8
12,LaMCTS,36,4.0,8
12,LaMCTS,42,4.0,8
12,LaMCTS,48,50,8
12,LaMCTS,54,50,8
12,LaMCTS,60,50,8
12,LaMCTS,66,50,8
12,LaMCTS,6,3.0,8
12,LaMCTS,12,3.0,8
12,LaMCTS,18,3.0,8
12,LaMCTS,24,3.0,8
12,LaMCTS,30,3.0,8
12,LaMCTS,36,3.0,8
12,LaMCTS,42,3.0,8
12,LaMCTS,48,3.0,8
12,LaMCTS,54,7.0,8
12,LaMCTS,60,7.0,8
12,LaMCTS,66,7.0,8
