complexity,algorithm,samples,b
12,"A*",127,8
24,"A*",544,8
36,"A*",1251,8
48,"A*",2244,8
60,"A*",3527,8

12,"MCTS",10,8
24,"MCTS",20,8
36,"MCTS",30,8
48,"MCTS",500,8
60,"MCTS",3000,8

12,"MCTS",15,8
24,"MCTS",25,8
36,"MCTS",35,8
48,"MCTS",550,8
60,"MCTS",3050,8
12,"MCTS",100,8
24,"MCTS",200,8
36,"MCTS",300,8
48,"MCTS",400,8
60,"MCTS",500,8
12,"MCTS",10,8
24,"MCTS",20,8
36,"MCTS",30,8
48,"MCTS",500,8
60,"MCTS",3000,8

12,"LAP3",50,8
24,"LAP3",70,8
36,"LAP3",80,8
48,"LAP3",90,8
60,"LAP3",100

12,"LAP3",550,8
24,"LAP3",1000,8
36,"LAP3",1200,8
48,"LAP3",1000,8
60,"LAP3",1200,8
