complexity,algorithm,samples,reward,b
36,LaMCTS,6,2.0,8
36,LaMCTS,12,2.0,8
36,LaMCTS,18,2.0,8
36,LaMCTS,24,2.0,8
36,LaMCTS,30,2.0,8
36,LaMCTS,36,2.0,8
36,LaMCTS,42,2.0,8
36,LaMCTS,48,2.0,8
36,LaMCTS,54,2.0,8
36,LaMCTS,60,2.0,8
36,LaMCTS,66,2.0,8
36,LaMCTS,6,1.0,8
36,LaMCTS,12,1.0,8
36,LaMCTS,18,1.0,8
36,LaMCTS,24,1.0,8
36,LaMCTS,30,1.0,8
36,LaMCTS,36,1.0,8
36,LaMCTS,42,1.0,8
36,LaMCTS,48,1.0,8
36,LaMCTS,54,1.0,8
36,LaMCTS,60,3.0,8
36,LaMCTS,66,3.0,8
36,LaMCTS,6,1.0,8
36,LaMCTS,12,1.0,8
36,LaMCTS,18,1.0,8
36,LaMCTS,24,1.0,8
36,LaMCTS,30,1.0,8
36,LaMCTS,36,1.0,8
36,LaMCTS,42,1.0,8
36,LaMCTS,48,1.0,8
36,LaMCTS,54,1.0,8
36,LaMCTS,60,1.0,8
36,LaMCTS,66,2.0,8
36,LaMCTS,6,0,8
36,LaMCTS,12,0,8
36,LaMCTS,18,0,8
36,LaMCTS,24,0,8
36,LaMCTS,30,0,8
36,LaMCTS,36,0,8
36,LaMCTS,42,0,8
36,LaMCTS,48,0,8
36,LaMCTS,54,0,8
36,LaMCTS,60,0,8
36,LaMCTS,66,0,8
36,LaMCTS,6,1.0,8
36,LaMCTS,12,1.0,8
36,LaMCTS,18,1.0,8
36,LaMCTS,24,1.0,8
36,LaMCTS,30,1.0,8
36,LaMCTS,36,1.0,8
36,LaMCTS,42,1.0,8
36,LaMCTS,48,1.0,8
36,LaMCTS,54,1.0,8
36,LaMCTS,60,1.0,8
36,LaMCTS,66,10.0,8
36,LaMCTS,6,1.0,8
36,LaMCTS,12,1.0,8
36,LaMCTS,18,1.0,8
36,LaMCTS,24,1.0,8
36,LaMCTS,30,1.0,8
36,LaMCTS,36,1.0,8
36,LaMCTS,42,1.0,8
36,LaMCTS,48,1.0,8
36,LaMCTS,54,1.0,8
36,LaMCTS,60,1.0,8
36,LaMCTS,66,2.0,8
36,LaMCTS,6,0,8
36,LaMCTS,12,0,8
36,LaMCTS,18,0,8
36,LaMCTS,24,0,8
36,LaMCTS,30,0,8
